amount,category,mandate_variant,debit_type,seq_type,freq_type,up_to_40_years,start_date,upto_date,status
46067.9,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,DAILY,True,2023-05-10,2028-07-21,APPROVED
56270.2,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,INTRA_DAY,False,2023-04-20,2025-10-15,REJECTED
83867.9,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,BY_MONTHLY,True,2023-07-15,2027-10-15,REJECTED
82468.48,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,WEEKLY,False,2023-07-04,2028-11-07,REJECTED
77067.3,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,INTRA_DAY,False,2023-01-18,2025-09-16,REJECTED
25947.97,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,True,2023-06-12,2024-03-07,APPROVED
20563.15,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,SEMI_ANNUALLY,False,2023-06-12,2025-01-07,APPROVED
95804.41,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,MONTHLY,True,2023-05-19,2027-06-18,APPROVED
56391.75,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,ADHO,True,2023-02-28,2029-04-29,REJECTED
16179.8,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,WEEKLY,True,2023-01-11,2025-02-26,APPROVED
13601.54,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,True,2023-09-17,2024-07-21,APPROVED
80474.42,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,YEARLY,False,2023-09-24,2026-11-22,REJECTED
6678.84,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,BY_MONTHLY,True,2023-07-06,2024-05-30,APPROVED
43415.01,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,WEEKLY,False,2023-07-10,2028-04-05,APPROVED
3721.17,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,INTRA_DAY,True,2023-06-19,2024-11-07,APPROVED
12542.1,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,MONTHLY,False,2023-08-13,2029-12-01,APPROVED
74595.95,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,YEARLY,False,2023-01-10,2025-03-22,REJECTED
28881.6,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,YEARLY,True,2023-05-29,2027-12-30,APPROVED
92246.54,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,DAILY,True,2023-02-14,2027-03-18,REJECTED
20664.48,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,BY_MONTHLY,False,2023-09-10,2029-02-23,APPROVED
79275.87,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,SEMI_ANNUALLY,False,2023-02-13,2026-12-15,APPROVED
79053.9,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,ADHO,True,2023-01-27,2028-08-02,REJECTED
33738.16,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,SEMI_ANNUALLY,False,2023-06-05,2023-09-20,APPROVED
17427.82,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,False,2023-11-24,2028-12-26,APPROVED
7563.59,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,True,2023-12-15,2028-04-29,APPROVED
13276.33,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,QUARTERLY,False,2023-01-15,2023-07-08,APPROVED
84053.72,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,QUARTERLY,False,2023-05-17,2025-11-15,REJECTED
20212.72,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,MONTHLY,False,2023-11-22,2027-12-03,APPROVED
19488.68,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,ADHO,False,2023-11-23,2026-05-30,APPROVED
91703.43,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,ADHO,True,2023-11-20,2024-09-20,REJECTED
16676.53,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,INTRA_DAY,False,2023-04-05,2023-12-20,APPROVED
67047.56,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,WEEKLY,True,2023-12-20,2025-10-21,APPROVED
55107.09,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,MONTHLY,True,2023-05-22,2028-10-16,REJECTED
39304.84,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,ADHO,False,2023-01-25,2024-05-28,APPROVED
96819.48,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,WEEKLY,False,2023-03-02,2023-04-21,REJECTED
47637.38,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,BY_MONTHLY,False,2023-07-13,2028-12-09,APPROVED
54879.38,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,MONTHLY,True,2023-09-03,2026-06-19,REJECTED
59525.5,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,WEEKLY,True,2023-06-12,2027-12-29,REJECTED
38859.77,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,YEARLY,False,2023-11-14,2025-02-21,APPROVED
48328.68,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,SEMI_ANNUALLY,False,2023-02-04,2024-06-07,APPROVED
82212.98,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,DAILY,True,2023-04-25,2024-02-26,REJECTED
49731.57,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,RECURRING,QUARTERLY,True,2023-05-15,2023-12-29,APPROVED
16673.29,BILL_PAYMENT_CREDIT_CARD,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,YEARLY,True,2023-01-18,2025-03-29,APPROVED
91629.09,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,RECURRING,QUARTERLY,True,2023-07-19,2029-11-08,REJECTED
48760.47,INSUARANCE_PREMIUM,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,ONE_TIME,MONTHLY,True,2023-07-31,2023-10-30,APPROVED
67911.01,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,ONE_TIME,ONE_TIME,MONTHLY,False,2023-03-31,2028-06-18,REJECTED
78559.48,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,INTRA_DAY,False,2023-04-04,2026-05-16,APPROVED
12175.0,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,YEARLY,False,2023-04-03,2028-12-27,APPROVED
91498.07,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,WEEKLY,True,2023-01-03,2026-11-12,REJECTED
32173.01,SUBSCRIPTION_FEES,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,INTRA_DAY,False,2023-05-04,2026-06-13,APPROVED
83273.92,INSUARANCE_OTHER_PAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,True,2023-10-14,2028-06-11,REJECTED
55359.05,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,MONTHLY,False,2023-01-02,2028-03-18,APPROVED
22832.35,EMI_LOAN_REPAYMENT,E_NACH_AADHAAR_NETBANKING_CREDITCARD,VARIABLE,ONE_TIME,ADHO,True,2023-10-10,2027-03-11,APPROVED
76844.47,B2B_CORPORATE,E_NACH_AADHAAR_NETBANKING_CREDITCARD,FIXED,RECURRING,MONTHLY,False,2023-03-23,2024-08-07,APPROVED
